ContentTypeID	ContentID	TypeOrder	EntryInL1	EntryInL2	Frequency	RecordingFileName
741728	430	0	in			
741729	430	0	and			
741730	430	0	to			
741731	430	0	ra			
741732	430	0	from			
741733	430	0	that			
741734	430	0	Iran			
741735	430	0	is			
741736	430	0	this			
741737	430	0	he/ she			
741738	430	0	with			
741739	430	0	year			
741740	430	0	for			
741741	430	0	also			
741742	430	0	custom 			
741758	430	0	arts of			
741759	430	0	this			
741760	430	0	but			
741761	430	0	poem			
741762	430	0	feast 			
741763	430	0	art			
741764	430	0	every			
741765	430	0	A lot			
741766	430	0	Dr.			
741767	430	0	then			
741768	430	0	life			
741769	430	0	lesson			
741770	430	0	province 			
741771	430	0	what?			
741772	430	0	literature 			
741773	430	0	so			
741774	430	0	Mostafa			
741775	430	0				
741776	430	0	has			
741777	430	0	they			
741778	430	0	before			
741779	430	0	they are			
741780	430	0	all of			
741781	430	0	two			
741782	430	0	Mahmood			
741783	430	0	type			
741784	430	0	Islam			
741785	430	0	you (singular)			
741786	430	0	two			
741787	430	0	Mr.			
741788	430	0	one			
741789	430	0	Iranian			
741790	430	0	physics 			
741791	430	0	Hesabi			
741792	430	0	America			
741793	430	0	Other			
741794	430	0	Islamic			
741795	430	0	some of			
741796	430	0	Imam			
741797	430	0	about			
741798	430	0	Era			
741799	430	0	AmirKabir			
741800	430	0	university			
741801	430	0	day			
741802	430	0	love			
741803	430	0	the beginning 			
741804	430	0	music 			
741805	430	0	Nowrooz			
741806	430	0	Hotel			
741807	430	0	the host			
741808	430	0	guest 			
741809	430	0	text			
741810	430	0	famous 			
741811	430	0	climate 			
741812	430	0				
741813	430	0	north			
741814	430	0	center 			
741815	430	0	is			
741816	430	0	or			
741817	430	0	ancient 			
741818	430	0	city			
741819	430	0	Period			
741820	430	0	eating			
741821	430	0	more			
741822	430	0	Very			
741823	430	0	Development			
741824	430	0	establish 			
741825	430	0	should			
741826	430	0	Relatives			
741827	430	0	acceptance 			
741828	430	0	room			
741829	430	0	all			
741830	430	0	Chamran			
741831	430	0	vast			
741832	430	0	west			
741833	430	0	Tehran			
741834	430	0	also			
741835	430	0	exist			
741836	430	0	Peace be upon him			
741837	430	0	science			
741838	430	0	to (With respect(			
741839	430	0	hello			
741840	430	0	fruit			
741841	430	0	equal 			
741842	430	0	until			
741843	430	0	new			
741844	430	0	history			
741845	430	0	concept			
741846	430	0	one of			
741847	430	0	God			
741848	430	0	always			
741849	430	0	human			
741850	430	0	could			
741851	430	0	title			
741852	430	0	Lebanon			
741853	430	0	grade 			
741854	430	0	new			
741855	430	0	ceremony 			
741856	430	0	Architecture			
741857	430	0	poets 			
741858	430	0	poet 			
741888	430	0	self			
741889	430	0	servant of 			
741890	430	0	father			
741891	430	0	water			
741892	430	0	Beirut			
741893	430	0	France			
741894	430	0	universities of 			
741895	430	0	book			
741896	430	0	national 			
741897	430	0	About			
741898	430	0	7			
741899	430	0	over			
741900	430	0	passenger 			
741901	430	0	God			
741902	430	0	handmade 			
741903	430	0	types 			
741904	430	0	Hijri			
741859	430	0	east			
741860	430	0	south			
741861	430	0	Isfahan			
741862	430	0	Fars			
741863	430	0	sea			
741864	430	0	Opinion			
741865	430	0	program 			
741866	430	0	TV presenter			
741867	430	0	dear			
741868	430	0	viewer 			
741869	430	0	handwriting			
741870	430	0	here you are			
741871	430	0	should not			
741872	430	0	becomes 			
741873	430	0	many- numerous			
741874	430	0	so			
741875	430	0	Amir			
741876	430	0	Kabir			
741877	430	0	king			
741878	430	0	Academic			
741879	430	0	the first			
741880	430	0	fields 			
741881	430	0	combat 			
741882	430	0	the length			
741883	430	0	became			
741884	430	0	went			
741885	430	0	Persian			
741886	430	0	for example 			
741887	430	0	I think 			
741905	430	0	firth			
741906	430	0	districts 			
741907	430	0	Different			
741908	430	0	becomes 			
741909	430	0	important			
741910	430	0	Gulf			
741911	430	0	institute 			
741912	430	0	Global			
741913	430	0	natural 			
741914	430	0	historical 			
741915	430	0	Safavieh			
741916	430	0	Religious			
741917	430	0	an important 			
741918	430	0	holy shrine			
741919	430	0	Reza			
741920	430	0	Shia			
741921	430	0	local			
741922	430	0	yes			
741923	430	0	back			
741924	430	0	digest 			
741925	430	0	physician			
741926	430	0	never 			
741927	430	0	clock/ watch/ hour			
741928	430	0	other			
741929	430	0	to become 			
741930	430	0	flow 			
741931	430	0	blood			
741932	430	0	 dim			
741933	430	0	is not			
741934	430	0	involve 			
741935	430	0	like			
741936	430	0	apple			
741937	430	0	less			
741938	430	0	Minister			
741939	430	0	helical			
741940	430	0	Qajar			
741941	430	0	Despite			
741942	430	0	foreigner			
741943	430	0	Science			
741944	430	0	did			
741945	430	0	students			
741946	430	0	countries			
741947	430	0	engineering 			
741948	430	0	books of			
741949	430	0	Development			
741950	430	0	hospital			
741951	430	0	they became			
741952	430	0	original			
741953	430	0	Mystical, gnostic			
741954	430	0	whether			
741955	430	0	dear			
741956	430	0	that's mean			
741957	430	0	Kaveh			
741958	430	0	gnosticism			
741959	430	0	professor 			
741960	430	0	next to the			
741961	430	0	rocks			
741962	430	0	of stone			
741963	430	0	troubles 			
741964	430	0	something 			
741965	430	0	help			
741966	430	0	students of 			
741967	430	0	Bright			
741968	430	0	speed 			
741969	430	0	had			
741970	430	0	calm			
741971	430	0	verses 			
741972	430	0	sport			
741973	430	0	always			
741974	430	0	exist 			
741975	430	0	nowadays			
741976	430	0	table cloth of			
741977	430	0	Seven sin			
741978	430	0	seven			
741979	430	0	4			
741980	430	0	5			
741981	430	0	6			
741982	430	0	things			
741983	430	0	Beauty			
741984	430	0	section			
741985	430	0	fifth			
741986	430	0	69			
741987	430	0	go			
741988	430	0	Ambulance 			
741989	430	0	they were			
741990	430	0	revolution 			
741991	430	0	war			
741992	430	0	part of			
741993	430	0	what			
741994	430	0	martyrdom 			
741995	430	0	life			
741996	430	0	has been			
741997	430	0	they have have			
741998	430	0	current 			
741999	430	0	famous 			
742000	430	0	Lunar			
742144	430	0	Quran 			
742145	430	0	Arabic			
742146	430	0	specially 			
742147	430	0	the final			
742148	430	0	Moments of			
742149	430	0	an hour 			
742150	430	0	others			
