SegmentInL1	SegmentInL2
ANTIGONE	ANTIGONE
par Jean Anouilh	by Jean Anouilh
PERSONNAGES	DRAMATIS PERSONAE
Antigone, fille d'Œdipe	Antigone, daughter of Oedipus
Créon, roi de Thèbes	Creon, king of Thebes
Hémon, fils de Créon	Haemon, son of Creon
Ismène, fille d'Œdipe	Ismene, daughter of Oedipus
Le Chœur	The Chorus
La Nourrice	The Nurse
Le Messager	The Messenger
Les Gardes	The Guards
Le Prologue	The Prologue
DÉCOR	DECOR
Un décor neutre.	Neutral decor
Trois portes semblables.	Three similar doors
Au lever du rideau, tous les personnages sont en scène.	When the curtain rises, all the actors are on the stage.
Ils bavardent, tricotent, jouent aux cartes.	They gossip, knit, play cards.
Le Prologue se détache et s'avance.	The Prologue separates himself from the group and moves forward.
TABLEAU I : LE PROLOGUE	SCENE I: THE PROLOGUE
LE PROLOGUE	THE PROLOGUE
Voilà. Ces personnages vont vous jouer l'histoire d'Antigone.	Well, here we are. These people that you see here are about to act out the story of Antigone for you.
Antigone, c'est la petite maigre qui est assise là-bas, et qui ne dit rien.	Antigone, that's the skinny little girl sitting over there, who's saying nothing.
Elle regarde droit devant elle. Elle pense.	She's staring straight ahead. She's thinking.
Elle pense qu'elle va être Antigone tout à l'heure, qu'elle va surgir soudain de la maigre jeune fille noiraude et renfermée que personne ne prenait au sérieux dans la famille et se dresser seule en face du monde, seule en face de Créon, son oncle, qui est le roi.	She's thinking that she will soon be Antigone, that she is suddenly going to burst forth from the slight, dark-haired girl that no one in the family takes seriously and rise up to face the whole world alone, face Creon, her uncle, who is the king.
Elle pense qu'elle va mourir, qu'elle est jeune et qu'elle aussi, elle aurait bien aimé vivre.	Another thing that she is thinking is this: she is going to die. Antigone is young. She would much rather live than die.
Mais il n'y a rien à faire.	 But there is no help for it.
Elle s'appelle Antigone et il va falloir qu'elle joue son rôle jusqu'au bout...	Her name is Antigone and she has to play her role through to the end.
Et, depuis que ce rideau s'est levé, elle sent qu'elle s'éloigne à une vitesse vertigineuse de sa sœur Ismène, qui bavarde et rit avec un jeune homme, de nous tous, qui sommes là bien tranquilles à la regarder, de nous qui n'avons pas à mourir ce soir.	And as soon as the curtain goes up, she feels that she is moving away at breakneck speed from her sister Ismene, who's chatting and laughing with a young man, from all of us, who are sitting here safely watching her, from all of us who don't have to die this evening.
Le jeune homme avec qui parle la blonde, la belle, l'heureuse Ismène, c'est Hémon, le fils de Créon.	The young man who is talking with pretty, happy, blonde Ismene is Haemon, the son of Creon.
Il est le fiancé d'Antigone.	He is Antigone's fiancé.
Tout le portait vers Ismène : son goût de la danse et des jeux, son goût du bonheur et de la réussite, sa sensualité aussi, car Ismène est bien plus belle qu'Antigone ;	Everything disposed him towards Ismene: his taste for dance and games, his taste for happiness and success, his sensuality too, because Ismene is much more beautiful than Antigone.
et puis un soir, un soir de bal où il n'avait dansé qu'avec Ismène, un soir où Ismène avait été éblouissante dans sa nouvelle robe, il a été trouver Antigone qui rêvait dans un coin, comme en ce moment, ses bras entourant ses genoux, et il lui a demandé d'être sa femme.	And then one night, a ball night when he had danced with no one but Ismene, a night when Ismene had been dazzling in her new gown, he had gone over to find Antigone, who was dreaming in a corner like she is now, her arms around her knees, and he had asked her to be his wife.
