Head word	Translation	CurrentDomain
ala	hole	current
alatjiṯu	absolutely, enough, complete	current
amaṯa	Musgrave Park	current
anama	keep on going	current
anangi	was going	current
ananyi	is going	current
ankuku	will go	current
ankula	having gone, while going	current
ankuntja	going	current
ankuntjaku	to go, so that (he) can go	current
ankuntjikitja	to go, so that (he) can go	current
ankunyangka	having gone, while going	current
ankupai	goes, can go	current
ankuwiya	negative form of go	current
ankuwiyangku	negative form of go	current
anu	went	current
apu	stone, mountain	current
ara	go!	current
awari	oh	current
aṉangu	person	current
aṉapala	Ernabella	current
helpamilaningi	was helping	current
helpamilaṉu	helped	current
iili	light rain	current
ikaringangi	laughed	current
ila	near	current
ilaringkula	having drawn near	current
ili	wild fig	current
ilkari	sky	current
ilungi	was dying (of fire) was going out	current
ilungu	died, (of fire) went out	current
iluntanu	killed	current
iluntja	having died	current
iluntjaku	to die, so that (he) can die	
iluntjikitja	to die, so that (he) can die	current
ilura	having died (of fire) having gone out	current
iluwiya	negative form of die	current
ingkatji	Ingkatji	current
ingkatjinya	Ingkatji	
ini	name	current
inka	play!	current
inkama	carry on playing	current
inkangi	was singing/dancing/playing	current
inkantjikitja	to play, so that (he) can play	current
inkanwiya	negative form of play	current
inkanyangka	having sung/played, while singing/playing	current
inkanyi	play!	current
inkara	having sung/played, while singing/playing	current
inkawiyangku	negative form of play	current
itingka	beside	current
itjinpiri	Itjinpiri	current
ka	and	current
kalkuṟa	having promised	current
kami	grandmother	current
kamuṟu	uncle (mother's brother)	current
kangkuṟu	older sister	current
kanyaḻa	euro	current
kanyiningi	was keeping, minding	current
kanyintjaku	to keep, to mind	current
kanyiṉi	keeps, minds	current
karu	creek	current
kati	take! Bring!	current
katingu	took, brought	current
katintjaku	to take, to bring	current
katira	having taken, brought	current
katja	son	current
katu	top, high, loud	current
katula	lift up	current
kaḻaya	emu	current
kaḻi	boomerang	current
kaṯiṯi	teeth	current
ku	POSS/FOR	current
kuka	meat, animal	current
kulila	having listened	current
kulini	is listing, thinking, understanding	current
